lad2,month,collisions,ksi,share_dark,share_wet,ksi_rate
12,2019-06,58,10,0.06896551724137931,0.27586206896551724,0.1724137931034483
12,2019-07,52,7,0.19230769230769232,0.11538461538461539,0.1346153846153846
12,2019-08,59,13,0.2711864406779661,0.1016949152542373,0.22033898305084745
12,2019-09,58,11,0.29310344827586204,0.1206896551724138,0.1896551724137931
12,2019-10,70,10,0.3,0.37142857142857144,0.14285714285714285
12,2019-11,82,6,0.5365853658536586,0.4634146341463415,0.07317073170731707
12,2019-12,50,6,0.4,0.46,0.12
12,2020-01,50,6,0.56,0.3,0.12
12,2020-02,34,6,0.3235294117647059,0.3235294117647059,0.17647058823529413
12,2020-03,37,6,0.2702702702702703,0.35135135135135137,0.16216216216216217
12,2020-04,22,3,0.045454545454545456,0.13636363636363635,0.13636363636363635
12,2020-05,29,5,0.10344827586206896,0.034482758620689655,0.1724137931034483
12,2020-06,47,4,0.1276595744680851,0.06382978723404255,0.0851063829787234
12,2020-07,48,6,0.125,0.125,0.125
12,2020-08,53,6,0.1320754716981132,0.16981132075471697,0.11320754716981132
12,2020-09,68,16,0.16176470588235295,0.10294117647058823,0.23529411764705882
12,2020-10,54,5,0.2777777777777778,0.37037037037037035,0.09259259259259259
12,2020-11,47,6,0.425531914893617,0.14893617021276595,0.1276595744680851
12,2020-12,55,4,0.5818181818181818,0.5272727272727272,0.07272727272727272
124,2019-01,16,3,0.3125,0.4375,0.1875
124,2019-02,20,6,0.45,0.25,0.3
124,2019-03,18,2,0.3333333333333333,0.3888888888888889,0.1111111111111111
124,2019-04,15,6,0.0,0.2,0.4
124,2019-05,14,0,0.07142857142857142,0.14285714285714285,0.0
124,2019-06,10,3,0.1,0.3,0.3
124,2019-07,13,2,0.15384615384615385,0.15384615384615385,0.15384615384615385
124,2019-08,17,1,0.11764705882352941,0.17647058823529413,0.058823529411764705
124,2019-09,22,4,0.0,0.09090909090909091,0.18181818181818182
124,2019-10,17,3,0.35294117647058826,0.4117647058823529,0.17647058823529413
124,2019-11,12,1,0.3333333333333333,0.3333333333333333,0.08333333333333333
